,cmd_str,cmd_id
161,CMDID_AGING_RESET_TIMER,0x1224
162,CMDID_AGING_GET_TIMER,0x143a
163,CMDID_AGING_TIMER_START,0x1270
164,CMDID_AGING_TIMER_STOP,0x1271
165,CMDID_PATTERN_SET,0x1225
166,CMDID_PATTERN_DISABLE,0x122b
167,CMDID_SYSTEM_MODE_GET,0x1232
168,CMDID_SYSTEM_MODE_SET,0x1231
169,CMDID_SYSTEM_REBOOT_RECOVERY,0x1233
170,CMDID_FACTORY_RESET,0x1227
171,CMDID_SYSTEM_MODE_CHANGE,0x1228
172,CMDID_SYSTEM_MODE_CHANGE_NEW,0x1230
173,CMDID_SYSTEM_REBOOT,0x1229
174,CMDID_SYSTEM_SHUTDOWN,0x122f
175,CMDID_SYSTEM_SHUTDOWN_NEW,0x124f
176,CMDID_LIGHT_SENSOR,0x1430
177,CMDID_SET_PRODUCTREGION,0x1461
178,CMDID_GET_PRODUCTREGION,0x1462
179,CMDID_POSTGAIN_RED_GET,0x1431
180,CMDID_POSTGAIN_GREEN_GET,0x1432
181,CMDID_POSTGAIN_BLUE_GET,0x1433
182,CMDID_POSTGAIN_RED_SET,0x1234
183,CMDID_POSTGAIN_GREEN_SET,0x1235
184,CMDID_POSTGAIN_BLUE_SET,0x1236
185,CMDID_POSTGAIN_SAVE,0x1237
186,CMDID_POSTOFFS_RED_GET,0x1437
187,CMDID_POSTOFFS_GREEN_GET,0x1438
188,CMDID_POSTOFFS_BLUE_GET,0x1439
189,CMDID_POSTOFFS_RED_SET,0x123a
190,CMDID_POSTOFFS_GREEN_SET,0x123b
191,CMDID_POSTOFFS_BLUE_SET,0x123c
192,CMDID_POSTGAIN_RGB_SET,0x123e
193,CMDID_POSTOFFS_RGB_SET,0x123f
194,CMDID_WHITEBALANCE_SAVE,0x123d
195,CMDID_GAMMA_SET,0x122c
196,CMDID_GAMMA_RESET,0x122d
197,CMDID_GAMMA_GET,0x142d
198,CMDID_GAMMA_CAL_TABLE,0x122e
199,CMDID_DO_ADC_CALIBRATE,0x1240
200,CMDID_ADC_CALIBRATE_GET,0x1441
201,CMDID_ADC_CALIBRATE_SET,0x1242
202,CMDID_ADC_SCALER_DATA_SAVE,0x1243
203,CMDID_PQ_DB_SAVE,0x124a
204,CMDID_PQ_PANEL_SET,0x124b
205,CMDID_PQ_PANEL_GET,0x124c
206,CMDID_PIC_MODE_RESET,0x1245
207,CMDID_GET_PIC_MODE,0x1446
208,CMDID_SET_PIC_MODE,0x1247
209,CMDID_GET_PIC_BRIGHTNESS,0x1448
210,CMDID_SET_PIC_BRIGHTNESS,0x1249
211,CMDID_GET_PIC_CONTRAST,0x1450
212,CMDID_SET_PIC_CONTRAST,0x1251
213,CMDID_GET_PIC_SHARPNESS,0x1465
214,CMDID_SET_PIC_SHARPNESS,0x1266
215,CMDID_GET_PIC_HUE,0x1467
216,CMDID_SET_PIC_HUE,0x1268
217,CMDID_GET_PIC_SATURATION,0x1469
218,CMDID_SET_PIC_SATURATION,0x126a
219,CMDID_GET_PIC_COLORTEMP,0x146b
220,CMDID_SET_PIC_COLORTEMP,0x126c
221,CMDID_RESET_SOUND_MODE,0x1252
222,CMDID_SET_SOUND_MODE,0x1253
223,CMDID_SET_SOUND_BALANCE,0x1254
224,CMDID_SET_SOUND_MUTE,0x1255
225,CMDID_MODEL_NAME_GET,0x1456
226,CMDID_GET_SYSTEM_FW_VER,0x1457
227,CMDID_GET_MCU_FW_VER,0x1258
228,CMDID_GET_PQ_VER,0x1259
229,CMDID_GET_AQ_VER,0x1260
230,CMDID_LED_TEST,0x1261
231,CMDID_VGA_AUTO_SYNC,0x1262
232,CMDID_ASPECT_MODE_SET,0x1263
233,CMDID_RC_LOCK,0x1264
234,CMDID_HDCP_KSV_GET,0x1412
235,CMDID_HDMI_EDID,0x1413
236,CMDID_SET_PIC_FULLHD,0x126d
237,CMDID_SYSTEM_SLEEP,0x122a
238,CMDID_SYSTEM_PARTITION_CHECK,0x1281
239,CMDID_BTRC_MAC_SET,0x1272
240,CMDID_BTRC_MAC_GET,0x1463
241,CMDID_RESET_PANEL_SEL,0x1273
242,CMDID_WOOFER_PLUGIN,0x1112
243,CMDID_POWERSTANDBY,0x1122
244,CMDID_HDMI_HPD_RESET,0x1110
245,CMDID_UPDATE_I2C_PORT_TEST,0x110a
246,CMDID_CHECK_HDCPKEY14_VALID,0x112a
247,CMDID_CHECK_HDCPKEY22_VALID,0x112b
248,CMDID_SYSTEM_MASTER_CLEAR,0x112c
249,CMDID_SET_AUTORUN_STATUS,0x1131
250,CMDID_GET_AUTORUN_STATUS,0x1132
251,CMDID_SET_AUTORUN_COMMAND,0x1133
252,CMDID_GET_AUTORUN_COMMAND,0x1134
253,CMDID_SET_SOUND_OUTPUT_MODE,0x113a
254,CMDID_SET_SPEAKER_SWITCH,0x113b
